year,age_5group,unemployment_rate,ci_lower,ci_upper,weighted_numerator,weighted_denominator,effective_n,unweighted_n
2017,75-79,2.288351796588623,1.0299187954396358,5.006648005649151,2162.546910583333,94502.3800015,247.25375454940064,492
2017,80+,1.1023801386340553,0.16793543189712185,6.878131568700946,230.94642858333336,20949.799482916667,73.7566789804957,136
2018,15-19,27.274211332777,25.428460326100893,29.20147450967095,142092.97050758335,520979.20916533336,2138.1744168362216,5185
2018,20-24,15.32056777270355,14.885378379078166,15.766123605707818,677037.6801856667,4419142.229127667,25698.254691483766,33894
2018,25-29,5.554894058828771,5.345674418504509,5.771802848656795,586432.8484119166,10557048.292934751,44405.242841312254,59572
2018,30-34,4.3661156204622475,4.193826525052168,4.5451468435824065,500412.76136191667,11461280.572064584,51997.75068256191,70857
2018,35-39,3.9287835928778825,3.7684084605363615,4.0956934498339885,410608.25554758334,10451282.078553166,54162.38315981183,71880
2018,40-44,3.533113404877165,3.388169276907535,3.6840217237692054,344713.52931275003,9756650.57444525,59853.6090162543,76863
2018,45-49,3.527922388900253,3.377247748450395,3.685062942595486,307153.63231433334,8706360.24422525,55215.140200992784,70872
2018,50-54,3.6876168536074623,3.5253650306416864,3.8570376248028353,322579.15495683334,8747632.082255667,49628.854174441185,64674
2018,55-59,3.3873300519048217,3.2164941298318475,3.566905090723734,253459.68948458333,7482580.250544334,40975.27744617201,55368
2018,60-64,2.892384404587807,2.668005415302256,3.135025841027427,92564.57866825,3200286.1902251667,19814.090270065248,26575
2018,65-69,3.041095108922361,2.6664760482768126,3.46647080090817,31159.181736416667,1024603.9870636667,7104.22283310077,9361
2018,70-74,1.7127204524671307,1.103884018032431,2.6483622605889687,3275.4923541666667,191245.00728933333,1131.351600292052,2095
2018,75-79,1.2310169901112915,0.43701456557118606,3.418099307404396,942.2909053333333,76545.72706166666,265.1223542875267,448
2018,80+,1.528277138909362,0.19936459349310792,10.760303476439647,519.62553425,34000.73985408334,43.27974738660504,160
2019,15-19,24.486330131553082,22.978298061513243,26.059846234660938,116054.59162575,473956.65664166666,2989.5512072237657,5071
2019,20-24,14.462125086686276,14.016759703746814,14.919186041439012,615594.3371735833,4256596.686058917,23341.281846648526,30795
2019,25-29,5.699291974062361,5.472659123497703,5.934720869356464,556004.6775369167,9755679.8294825,38690.67427949788,52151
2019,30-34,4.356620097010283,4.175619853783022,4.545094004417124,504279.15250633337,11575008.636910833,46917.497290565516,64947
2019,35-39,3.629727479350348,3.474848296875764,3.7912387201772257,385450.3501366667,10619264.1824905,53713.86816621069,72176
2019,40-44,3.4211626347414676,3.2759469109793153,3.572577701755591,333724.34611275,9754705.687587667,57721.849273844564,74656
2019,45-49,3.527366690840509,3.3746017859810538,3.6867832482408054,312878.5578944167,8870032.103746584,53673.85924794651,70043
2019,50-54,3.656811071988898,3.489515953949011,3.8318082460513554,304760.29238175,8334045.33026625,46224.19203377827,60748
2019,55-59,3.1867566970042285,3.0163414864815943,3.3664657060799215,237671.41301666666,7458097.232214,38695.3288287516,52440
2019,60-64,2.395608580467654,2.1901637792735835,2.619808622286255,79284.93948925,3309594.9035953335,19496.87441929664,26514
2019,65-69,3.006473148251431,2.645146016591594,3.4154260265906373,34262.153687,1139612.828637,7577.087380175532,10185
2019,70-74,2.0082760237628676,1.427535777412392,2.8185137570392205,4529.834018333333,225558.33783475,1602.783815018381,2443
2019,75-79,2.417573044702228,1.2440267595235983,4.646095283286571,1668.6746735833333,69022.72000591666,342.68005789707775,501
2019,80+,4.51597768241583,2.198552572825993,9.05008934428558,1770.8648086666667,39213.320640666665,153.80374234933453,272
2020,15-19,27.1287366609874,25.623983988420427,28.687771247818006,126695.15894275,467014.592408,3233.296268761357,5296
2020,20-24,16.221447546838725,15.748534352228818,16.705746005016543,670647.4323515,4134325.4380660835,22790.346395938934,30486
2020,25-29,7.487249475048069,7.216833524459582,7.766949754334526,665024.5680921667,8882094.423438417,35176.080710843824,48172
2020,30-34,6.025174460381845,5.813168614155715,6.24439953926617,691773.2656065833,11481381.496175667,46795.44856430743,63912
2020,35-39,5.092357679044682,4.909256576438603,5.281908592934923,553332.530023,10865940.000640417,53489.462797702836,72332
2020,40-44,4.601771566894626,4.437169291847023,4.772175041632056,457740.68415225,9947053.596603084,60120.07579369407,77058
2020,45-49,4.2870649704762664,4.122753111989382,4.457620993990094,386620.15553883335,9018294.758800501,56242.06387240242,72779
2020,50-54,4.442531719709498,4.260000939014833,4.632505075235206,359601.8044314167,8094524.183947333,47024.812561247956,61545
2020,55-59,4.002923813643757,3.808539332988729,4.206795616363499,302422.78500333335,7555047.23753525,37244.9992228641,51597
2020,60-64,2.8063264689648277,2.585020092464818,3.0459867094178956,99799.48144508334,3556232.0545655,19751.405058252854,27657
2020,65-69,2.452292887142299,2.1241425935986804,2.829672183384508,28091.258222666667,1145509.91726775,7416.685014598951,9970
2020,70-74,2.4373763374321724,1.7879298184157955,3.314765369451246,5621.046077083333,230618.71860975,1599.2808179067308,2309
